Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
TCPW_MOUSE,-0.404684446,-0.28439777,-0.269701849,-0.350557948,,-0.570751383,-0.729578584,-1.134475333
ECHM_MOUSE,-0.013879696,-0.249100818,-0.468181213,-0.378599571,-0.985665704,-0.800693901,-0.641694793,-0.605191094
PRDX5_MOUSE,-0.457564507,-0.566630525,-0.734379088,-0.656801929,-1.040153397,-1.334855886,-1.163547915,-0.794856276
SPA3C_MOUSE,-0.6023035,-0.514133511,-0.369039371,-0.533458998,-0.965916459,-0.899274709,-0.952121968,-1.112640733
ITIH2_MOUSE,-0.357745023,-0.518895146,-0.457804098,-0.706991775,-0.743534189,-1.102347065,,-1.108727508
VTNC_MOUSE,-1.087254322,-0.884391077,-1.115214566,-1.320569187,-1.775932736,,-1.453904722,-1.497100908
ECHA_MOUSE,-0.626998651,-0.856199569,-0.955760023,-0.842252753,-1.432911568,-1.442546295,-1.245301934,-1.044162691
TYB10_MOUSE,-0.361228318,-0.245320713,-0.250106126,-0.292128812,-0.689465567,-0.893002471,-0.836503229,-0.574081848
METK2_MOUSE,-0.280898955,-0.374194865,-0.525911542,-0.468749285,-0.653111713,-0.939007016,-0.712946909,-1.180012295
HNRPL_MOUSE,0.325990962,0.21649088,-0.021779064,0.07488018,-0.583144371,-0.232013997,-0.149498549,-0.268453195
FIBG_MOUSE,-0.757150235,-0.803592363,-0.846683477,-0.926436196,-1.317577485,-1.392176868,-1.185413062,-1.266990784
IMPA1_MOUSE,-0.819028045,-0.972475952,-1.127873415,-0.975151399,-1.153747013,-1.495630354,-1.30824646,-1.725656695
TCTP_MOUSE,0.69336708,0.509407698,0.307701084,0.419749977,0.021852511,-0.076436145,0.18812745,0.027305361
CAP1_MOUSE,-0.041834176,-0.489553391,-0.336669929,-0.193796393,-0.676795531,-0.781230678,-0.688654724,-0.683255027
DX39B_MOUSE,0.01314222,-0.260691561,-0.186838638,-0.241523619,-0.608826549,-0.746342498,-0.640638687,-0.439022647
MARCS_MOUSE,-0.622643735,-0.713128771,-0.901721819,-0.848667763,,-1.257063524,,-1.160157042
6PGD_MOUSE,-0.445800408,-0.665902837,-0.613120281,-0.540335684,-1.036950033,-1.20850963,-1.037052195,-0.72554306
CNDP2_MOUSE,-0.23651661,-0.248891291,-0.322633229,-0.367820884,-0.979603128,-0.926293249,-0.605909766,-0.40193614
CHM4B_MOUSE,-0.304834831,-0.522400628,-0.190880915,-0.426493994,-0.639245098,-0.962689578,-0.76869465,-0.793790806
ATP5J_MOUSE,-0.50631933,-0.626588808,-0.674057861,-0.429275721,,-1.1080015,-1.038279145,-0.814089296
A1AT4_MOUSE,0.209348871,0.219790048,0.155627164,0.139831238,-0.227296159,-0.428066956,-0.338457223,0.033166986
COEA1_MOUSE,-0.23887391,-0.33936379,-0.584930294,-0.505734467,-0.881723473,-1.01724829,-0.719795693,-0.734414081
ANXA4_MOUSE,-0.551718067,-0.713142489,-0.868043831,-0.757841745,-1.121802436,-1.387832671,-1.211717875,-0.848849783
EIF3H_MOUSE,-0.344706574,-0.443617578,-0.499831482,-0.571559764,,,-1.004796044,-0.762807861
ARF2_MOUSE,-0.475597089,-0.441329544,-0.653490987,-0.479335834,-0.943047063,-1.059083842,-0.820155548,-0.895253988
ARF5_MOUSE,-0.501041082,-0.392346392,-0.633142445,-0.534816594,-0.904122739,-1.008152336,-0.925393772,-0.88992553
ACSF2_MOUSE,-1.103098898,-0.915069317,-1.118560682,-1.072006807,-1.326896515,-1.664551363,-1.481142925,-1.392845447
HEXB_MOUSE,-0.381055079,-0.41566307,-0.674452368,-0.419817618,-0.902297566,-1.092429303,-0.894594114,-0.648758491
