Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
UBA1_MOUSE,-0.242304861,-0.376823339,-0.55558252,-0.402387361,-0.614726885,-0.734385251,-0.665413019,-0.651586124
RS20_MOUSE,-0.188473784,-0.337524374,-0.47147425,-0.343551233,-0.540612371,-0.666627855,-0.574716596,-0.640597155
PRP19_MOUSE,-0.983708099,-1.054930055,-1.313358757,-1.105402278,-1.310973549,-1.462156171,,-1.380019712
SODC_MOUSE,0.933149334,1.041834385,0.88272095,0.848595303,0.67946488,0.676754666,0.726754825,0.544618999
QCR1_MOUSE,-0.219540429,-0.322084699,-0.48783463,-0.448171743,-0.635048973,-0.750241212,-0.628291237,-0.541540267
PDIA6_MOUSE,-0.323025731,-0.451317354,-0.642416385,-0.453169217,-0.787099107,-0.714015922,-0.719238249,-0.724411028
UBQL2_MOUSE,-0.455227153,-0.490357805,-0.83089508,-0.739427024,-0.811968383,-0.903976759,-0.959947231,-0.912118075
CH60_MOUSE,0.106573223,0.044644745,-0.081369901,6.94E-05,-0.189791862,-0.288702445,-0.238806158,-0.28266818
HNRPU_MOUSE,0.016224723,-0.101919296,-0.10538741,-0.110251488,-0.27262084,-0.407836724,-0.443044448,-0.241826674
AT1A2_MOUSE,-1.026611368,-1.074995773,-1.271133601,-1.188901044,-1.51886214,-1.519092183,-1.243096004,-1.338961823
IF4H_MOUSE,-0.393437516,-0.344423538,-0.270515856,-0.343411294,-0.544335465,-0.60385494,-0.617076417,-0.642152986
SRSF5_MOUSE,0.413929284,0.244786253,0.099540708,0.203963459,-0.109139893,-0.141389179,0.095685469,0.064473265
ACON_MOUSE,-0.260858175,-0.373197242,-0.519667183,-0.416069787,-0.676947329,-0.662313242,-0.597151096,-0.675565484
EF1B_MOUSE,-0.261399381,-0.403383843,-0.50905113,-0.480795795,-0.584188316,-0.581387525,-0.619253834,-0.901851701
RHOA_MOUSE,0.121996439,-0.222412071,-0.061235658,0.05116314,-0.439751584,-0.280296051,-0.175589928,-0.246851144
HAP28_MOUSE,-0.761506388,-0.966452178,-0.701435842,-0.882283172,,,,-1.085839848
MEIS1_MOUSE,-0.785691349,-0.879869746,-0.973131658,-0.81930741,-1.045209994,-1.163473724,-1.120601297,-1.159255967
RCN2_MOUSE,-0.705439253,-1.304638274,-1.347594829,-1.298706268,,-1.420738293,,
MYH9_MOUSE,-0.052937238,-0.285369998,-0.291026391,-0.285124051,-0.403282379,-0.549831666,-0.489958014,-0.496555416
RS28_MOUSE,-0.061567197,-0.05961795,-0.113174323,-0.145510467,-0.311358327,-0.418398898,-0.425215209,-0.248100072
RADI_MOUSE,0.620436964,0.494712249,0.407630208,0.445912726,0.227607953,0.199569052,0.236876621,0.291710632
ECHD2_MOUSE,-0.120590565,-0.160180492,0.095527423,0.068931709,,-0.281159036,,
ILF2_MOUSE,-0.645691977,-0.574407232,-0.626709249,-0.650092175,-0.918935027,-0.903795342,,-0.805136957
MAP2_MOUSE,-0.28777766,-0.387490012,-0.586588596,-0.505508027,-0.664722644,-0.799949071,-0.615359459,-0.693945527
NPM_MOUSE,0.287728044,-0.026166856,-0.05124553,0.051098983,-0.123446574,-0.248684681,-0.203333562,-0.166187681
SEPT6_MOUSE,-0.18820081,-0.382028218,-0.54399336,-0.405081858,-0.584268134,-0.745485768,-0.57220838,-0.618410639
SYNP2_MOUSE,-0.550549699,-0.605893856,-0.718475438,-0.593090025,-0.80562395,-1.100195867,-0.770828193,-0.790183249
PLMN_MOUSE,0.24938442,0.175270101,-0.037098704,0.084801166,-0.094653787,-0.297549155,-0.121959272,-0.009471317
AATM_MOUSE,0.26424834,0.054787423,-0.009366944,0.049615666,-0.123798642,-0.246100689,-0.093690056,-0.171834777
RLA2_MOUSE,-0.544276282,-0.661394366,-0.798422465,-0.680549859,-0.958700204,-0.9181695,-0.883683056,-0.917729349
MYPT1_MOUSE,-0.854126083,-0.737646157,-0.79199876,-0.848686925,-0.942977413,-1.136388784,-1.049348326,-1.096353451
SEPT9_MOUSE,0.167384507,0.182823556,0.046494417,0.118932653,-8.82E-05,-0.201098144,-0.14088106,-0.131484222
IDH3A_MOUSE,-0.297626654,-0.415455029,-0.620455716,-0.466876806,-0.649832174,-0.767907969,-0.665283804,-0.699747857
NUDC_MOUSE,-0.15960938,-0.23069462,-0.461366485,-0.351151838,-0.500579713,-0.633695588,-0.568436219,-0.480278774
TCPE_MOUSE,-0.10822174,-0.059404824,-0.350159784,-0.238164944,-0.400133895,-0.504011574,-0.44691138,-0.381814587
PURA_MOUSE,-0.807509262,-1.028239768,-1.023606913,-0.990369689,-1.066782488,-1.183095177,-1.25426439,-1.320823064
AIMP1_MOUSE,-0.445345853,-0.549183494,-0.848676464,-0.669517051,-0.796362054,-0.881807957,-0.81775999,-0.99080547
VIGLN_MOUSE,-0.928577111,-1.219443568,-1.175001212,-1.151129264,,,,-1.360035722
SPA3F_MOUSE,0.626948352,0.607544964,0.654407384,0.502838259,0.303110272,0.325644815,0.34183067,0.455984028
HNRPF_MOUSE,-0.638234159,-0.837719396,-0.965644342,-0.967311596,-0.952814535,-1.098448778,-1.169969273,-1.150392726
SEPT8_MOUSE,-0.062273801,-0.153969728,-0.367131511,-0.192654455,-0.37243629,-0.599211187,-0.36039541,-0.406070463
IF2A_MOUSE,-0.616874853,-0.647650978,-0.648119655,-0.628104869,-0.799695423,-0.892422475,-0.955383911,-0.85056028
PCBP2_MOUSE,-0.104018818,-0.40396031,-0.445412238,-0.301569254,-0.423537615,-0.580949927,-0.61709898,-0.578661101
CHDH_MOUSE,-0.557859037,-0.630489999,-0.928744835,-0.70575492,-0.868160278,-0.938678472,-0.932806283,-1.023619476
PROF1_MOUSE,-0.814233179,-0.825917969,-0.836176652,-0.754315739,-1.022071086,-1.151884553,-1.052956276,-0.942917245
PLST_MOUSE,0.044030142,0.029541231,-0.058018333,-0.102472133,-0.132102104,-0.331745746,-0.32469115,-0.236197613
MDHM_MOUSE,0.091515551,0.039261485,-0.018239278,0.046193805,-0.213364141,-0.2928046,-0.148696032,-0.119606761
EF1D_MOUSE,0.14733412,0.016124294,-0.132690791,-0.046277899,-0.215918051,-0.307554746,-0.185525361,-0.237590057
FUMH_MOUSE,-0.953271082,-1.038626214,-1.205520458,-1.044552713,-1.33971785,-1.2851768,,-1.254155023
TCP4_MOUSE,-0.760818154,-0.849250076,-1.013542007,-0.930708151,-1.121471031,-1.115327662,-1.111032114,-1.132172931
COX5B_MOUSE,-0.590950741,-0.620351331,-0.795523701,-0.707251543,-0.845738102,-0.98641465,-0.869658792,-0.934208011
AT1A1_MOUSE,-1.164175501,-1.03334911,-1.279653624,-1.188901044,-1.447337968,-1.421965629,-1.376877608,-1.335418975
KCY_MOUSE,-0.053296834,-0.001892755,-0.11216869,-0.07053637,-0.226690693,-0.310610377,-0.290590314,-0.316751368
PYC_MOUSE,-1.048054293,-1.014081236,-1.139928725,-1.049193685,-1.251863729,-1.321380221,-1.351187709,-1.230890712
THY1_MOUSE,-0.244475453,-0.375129107,-0.379789872,-0.407234847,-0.662454023,-0.67974187,-0.570362831,-0.390800645
IF4A3_MOUSE,-1.12578593,-1.08884688,-1.026512841,-1.183632533,-1.373532614,-1.399471988,-1.374417701,-1.173400486
CAP2_MOUSE,-1.287480071,-1.38508534,-1.468692933,-1.467095878,,-1.626053548,,
TCPD_MOUSE,-0.251670866,-0.481137207,-0.510255343,-0.49385329,-0.563844536,-0.744066194,-0.700958217,-0.618849614
THIL_MOUSE,-0.537454401,-0.640544475,-0.802428426,-0.702822289,-0.927531103,-0.949124408,-0.964265646,-0.731362268
YV012_MOUSE,0.442741316,0.390698729,0.192321896,0.398144094,0.121256453,0.087342703,0.202813459,0.124400597
RAB1A_MOUSE,-1.085365276,-1.02646083,-1.102081191,-1.108188702,-1.252549434,-1.371567121,-1.281777246,-1.296318594
ORN_MOUSE,-0.479751511,-0.547138085,-0.561889148,-0.564199226,-0.800997939,-0.833768161,-0.727356955,-0.666255238
THIM_MOUSE,-0.391885997,-0.469446282,-0.617176119,-0.493765733,-0.684572178,-0.766972457,-0.673659109,-0.7157341
A1AG1_MOUSE,-0.449826801,-0.486403099,-0.627283297,-0.502928833,-0.719655886,-0.825031252,-0.59588183,-0.794297151
MANF_MOUSE,-1.26006218,-1.061518365,-1.158887612,-1.160019407,,-1.470498976,-1.447865139,-1.212592969
GUAA_MOUSE,-1.292444711,-1.30408267,-1.393093409,-1.328099972,-1.564636896,-1.58293103,-1.523868084,-1.505929084
CTBP1_MOUSE,-0.334713524,-0.365027745,-0.460606021,-0.401730493,-0.510264176,-0.755472291,-0.661943926,-0.488608564
ANXA6_MOUSE,-0.134157055,-0.266315205,-0.33171385,-0.257034047,-0.414498122,-0.505837191,-0.457966454,-0.464115993
UBE2N_MOUSE,-0.427261055,-0.660576359,-0.781545572,-0.718322204,-0.753482417,-0.895574622,-0.870905209,-0.920718707
KCD12_MOUSE,0.49800069,0.400348985,0.271231781,0.358087573,0.24926073,0.164182961,0.155080231,0.11156645
NDUS8_MOUSE,-0.782455905,-0.89490167,-0.949108702,-0.853819691,-1.116935354,-0.980570736,-1.192164854,-1.033740981
BOREA_MOUSE,-0.438721823,-0.684340337,-0.81950867,-0.725148315,,,,-0.877462544
CDV3_MOUSE,-1.132739002,-0.917892343,-1.192755833,-0.978362376,-1.279079026,-1.224774755,-1.357748803,-1.197834731
TCPG_MOUSE,-0.247553132,-0.409515254,-0.488003128,-0.41995889,-0.591182778,-0.626978878,-0.609677302,-0.573998961
ARP2_MOUSE,-0.461833891,-0.519704676,-0.627923712,-0.603049407,,,,-0.762186972
TALDO_MOUSE,0.20987687,0.081768458,0.026974165,0.061008102,-0.049005479,-0.125475144,-0.170611634,-0.109486864
CY1_MOUSE,-0.715052303,-0.867522525,-1.026628857,-0.96349466,-1.035644834,-1.122949989,-1.089484059,-1.157004
TIF1B_MOUSE,-0.166620407,-0.211222331,-0.297474282,-0.254409775,-0.361619661,-0.509187819,-0.451908972,-0.433947632
TCPB_MOUSE,-0.448806718,-0.53432032,-0.623485126,-0.547772107,-0.742457061,-0.756200667,-0.792704137,-0.688240527
CYB5_MOUSE,-0.444502505,-0.310753112,-0.232347373,-0.449392893,-0.542958375,-0.75025294,-0.484698072,-0.482951232
EIF3I_MOUSE,-0.365216019,-0.354633426,-0.441312852,-0.363612,-0.568286278,-0.57611415,-0.576047828,-0.627523694
APEX1_MOUSE,-1.049693737,,,-1.057069527,,,,-1.258416931
CPNE1_MOUSE,-0.805846187,-0.76605226,-0.844562148,-0.784307844,-0.930799556,-1.104615269,-0.998887499,-0.979621472
SEP11_MOUSE,-0.2388569,-0.139877205,-0.324352846,-0.192654455,-0.37243629,-0.413474153,-0.373098523,-0.541148497
HNRPK_MOUSE,0.17950901,0.095688559,-0.032724157,0.05044695,-0.043966643,-0.186184795,-0.135525209,-0.141252201
DCTN1_MOUSE,-1.003141106,-1.114351005,-1.145807865,-1.096826083,-1.348450654,-1.24232071,-1.276999481,
TPM3_MOUSE,0.874679829,0.860916991,0.690094779,0.772383889,0.695039605,0.578703125,0.632880965,0.498245092
TCPZ_MOUSE,0.051305262,0.112891506,0.039848519,0.124108731,-0.047545047,-0.14895755,-0.156830625,-0.109804131
DBNL_MOUSE,-0.82926152,-0.865687034,-0.989703572,-0.878908859,-1.115243925,-1.076989173,-1.021795351,-1.140607672
NUCKS_MOUSE,-0.514057284,-0.329502889,-0.450496668,-0.455993118,-0.619189294,-0.725116178,-0.667654398,-0.527535237
PLSL_MOUSE,-0.028661413,0.078408956,-0.087698551,-0.109600829,-0.133714798,-0.260997911,-0.303600956,-0.238106954
HNRPM_MOUSE,0.668344383,0.506629563,0.42821015,0.487970648,0.400820202,0.331598406,0.282633825,0.288841515
PGM2_MOUSE,-0.885465508,-0.882110535,-1.100202798,-1.104967948,-1.112843828,-1.219185185,-1.186884137,-1.240649619
TXNL1_MOUSE,-0.367202809,-0.522133777,-0.573548714,-0.586834004,-0.637863478,-0.774935862,-0.783449711,-0.635155601
OAT_MOUSE,0.082925642,0.056367547,-0.074734161,0.015264612,-0.150427311,-0.177285978,-0.153808119,-0.209469553
CDC42_MOUSE,-0.065171096,-0.066801016,-0.061133657,-0.094705771,-0.297104457,-0.263132751,-0.24206691,-0.253520038
RCN3_MOUSE,-0.277735322,-0.41412037,-0.492822865,-0.418944779,-0.563445993,-0.643946314,-0.533012779,-0.630277165
FKBP4_MOUSE,-0.487864,-0.49517383,-0.617621296,-0.562497402,-0.63491882,-0.818102148,-0.702678664,-0.774127752
FUBP2_MOUSE,-0.803410651,-0.798594702,-1.004258113,-0.767576822,-0.933635711,-1.01331382,-1.077909989,-1.109771946
CTBP2_MOUSE,-0.366709073,-0.365027745,-0.446226402,-0.457136821,-0.488778042,-0.755472291,-0.661943926,-0.488608564
C1QBP_MOUSE,-0.073761318,-0.167934452,-0.284403603,-0.211613764,-0.33135111,-0.413991471,-0.345871207,-0.401814656
2ABA_MOUSE,-0.449815618,-0.561611766,-0.633658131,-0.595668573,-0.683217781,-0.854331833,-0.640994114,-0.815012272
VDAC1_MOUSE,-0.607815997,-0.475647843,-0.732567531,-0.489499287,-0.792055139,-0.828141131,-0.765244087,-0.656753192
PHB_MOUSE,-0.341958897,-0.402283929,-0.534296051,-0.397530342,-0.59168433,-0.675575813,-0.575867229,-0.569423075
NDUS3_MOUSE,-0.570839619,-0.729964817,-0.82681866,-0.699026126,-0.864913226,-0.938934255,-0.90597299,-0.852340358
OTUB1_MOUSE,-0.129897448,-0.235515096,-0.282128886,-0.247864211,-0.394190011,-0.405811508,-0.420663368,-0.402586296
DDX5_MOUSE,-0.714974843,-0.763960777,-0.841581593,-0.896827049,-0.933827304,-0.949709666,-1.075534186,-0.985947251
DYHC1_MOUSE,-0.337087718,-0.303119331,-0.398506756,-0.401397721,-0.577925645,-0.557565534,-0.539026066,-0.488641365
TBCA_MOUSE,0.010840115,-0.162366145,-0.254235785,-0.263003744,-0.283495615,-0.427588783,-0.335064107,-0.344601489
P4HA1_MOUSE,-0.497328928,-0.848347371,-0.444706391,-0.761907913,,,,-0.817569488
PABP1_MOUSE,-0.725609845,-0.952774181,-0.935170335,-0.876730152,-1.1790282,-1.040243505,-0.952830943,-1.033128677
SC22B_MOUSE,-0.73172404,-0.723752219,-0.868959023,-0.874446389,-0.993942389,-0.972787299,-0.971046268,-0.972938922
AP2A2_MOUSE,-1.005188753,-1.232214553,-1.31073516,-1.202018531,-1.40725682,-1.340537236,-1.334275476,-1.368673622
ETFA_MOUSE,-0.270672195,-0.394190493,-0.453307599,-0.513717642,-0.559219649,-0.620209674,-0.580334121,-0.57091178
SC23A_MOUSE,-0.975441465,-1.132379901,-1.157315869,-1.13829546,-1.245520666,-1.248983148,-1.399382961,-1.202262616
RHG01_MOUSE,-0.216401346,-0.35423991,-0.46291525,-0.41517828,-0.517598779,-0.602792209,-0.470948548,-0.544611811
RB6I2_MOUSE,-0.407656949,-0.374332477,-0.343411736,-0.525866457,-0.540899728,-0.55111688,-0.59340399,-0.629864981
ADHX_MOUSE,-0.06102895,-0.089166107,-0.180316087,-0.078819085,-0.197396072,-0.301073388,-0.233364023,-0.335803733
SARNP_MOUSE,-0.517577402,-0.436631385,-0.42773068,-0.389934493,-0.542275268,-0.688846973,,-0.590313942
DC1I2_MOUSE,-0.693368144,-0.664506649,-0.774423468,-0.689438665,-0.75962826,-0.92927644,-0.865314131,-0.913506643
IDHP_MOUSE,-0.049082413,-0.167425079,-0.303632485,-0.27317856,-0.312877785,-0.395568336,-0.344230175,-0.385681203
IMB1_MOUSE,0.188301296,0.190706429,0.13150565,0.090571507,-0.008089701,-0.10910476,-0.080064451,0.157564653
NDUA8_MOUSE,-0.102092365,-0.14287621,-0.301252814,-0.225041556,-0.361422207,-0.390480959,-0.298710735,-0.334135909
EIF3A_MOUSE,-0.462999321,-0.472447903,-0.62775879,-0.555588526,-0.646241828,-0.754766419,-0.653105356,-0.676893145
CX6A1_MOUSE,0.577722473,0.565397386,0.47506113,0.502525724,0.391309509,0.348118266,0.405569183,0.374533697
SH3L3_MOUSE,-0.847781699,-0.868246491,-0.954391327,-0.939194101,-1.072655664,-1.065810754,-0.994793135,-1.063896721
PPM1G_MOUSE,1.096157865,1.118775567,1.079121178,1.053542548,0.957919941,0.904706881,1.039686895,0.858755664
EFTU_MOUSE,-0.746133133,-0.801420383,-0.854185359,-0.828665121,-0.935399505,-0.933749255,-1.051344026,-0.884333092
PPCE_MOUSE,-1.311503665,-1.482868972,-1.453878822,-1.440807478,,-1.591608899,-1.538572807,-1.555854136
CNPY2_MOUSE,0.006666998,-0.060991677,-0.1312087,-0.019078242,-0.170419569,-0.157851774,-0.123372117,-0.304336803
CTNB1_MOUSE,-0.878021887,-0.718660073,-0.887105856,-0.803577871,-0.874647534,-0.927651993,-0.964352557,-1.004317745
GNAI2_MOUSE,-0.374150713,-0.46409968,-0.451241794,-0.432431616,-0.592523018,-0.563141146,-0.535366382,-0.50179636
COR1B_MOUSE,-0.338678017,-0.330510211,-0.373965751,-0.217915248,-0.428195418,-0.492503421,-0.378997713,-0.420440604
UBA1Y_MOUSE,-0.390672129,-0.544486694,-0.526131244,-0.51146807,-0.590680355,-0.638653916,-0.651640385,-0.52915383
CERU_MOUSE,-0.7818024,-1.137457533,-1.193585878,-1.128988927,,,,-1.169517355
ERF3A_MOUSE,-0.882318552,-0.840457716,-1.140925207,-1.014667685,,,,-1.067783485
TCEA1_MOUSE,-0.592717203,-0.911864021,-0.920053754,-0.79869539,,,,-0.900835296
FBLN1_MOUSE,0.423606695,0.428448978,0.373678101,0.411925273,0.247236293,0.316140496,0.357671717,0.367423951
SNX9_MOUSE,-0.705261495,-0.697880404,-0.731242753,-0.737932936,-0.774606809,-0.75767632,-0.827612255,-0.839883484
PGAM2_MOUSE,0.444261711,0.499406437,0.386621415,0.384218613,0.367841966,0.316523777,0.362853263,0.34723969
RBBP4_MOUSE,-1.322359871,-1.360687406,-1.335804406,-1.405144733,-1.424459916,-1.411821634,-1.406889528,-1.462177282
MYG1_MOUSE,-1.484275356,-1.351806342,-1.464448508,-1.688195808,,,,-1.535945336
K1B11_MOUSE,0.770223686,1.011918765,0.740034787,0.175492469,,,,0.658931484
1433E_MOUSE,-0.530207603,-1.329456474,,-1.097108241,,,,
AN32C_MOUSE,-0.096551355,-0.202460844,-0.725172257,-0.577952023,,,,
CAN2_MOUSE,-0.991362126,-1.152982174,-1.383507315,-1.167902539,,,,
CX023_MOUSE,-0.992574006,-0.903793868,,-1.065721747,,,,
DERM_MOUSE,-0.920609519,-0.907231567,-1.03907568,-1.152179633,,,,
KAD2_MOUSE,-1.415687669,-1.395338636,,-1.344080616,,,,
NSF1C_MOUSE,-1.71901669,-1.376918197,-1.734003139,-1.502439414,,,,
PAK3_MOUSE,-1.333396257,-1.314835099,-1.316529266,-1.408409493,,,,
PRDX6_MOUSE,-1.264781477,-1.332140818,-1.726391689,,,,,
PUR6_MOUSE,-0.758142315,-0.984471062,-1.01531062,-1.039565703,,,,
SHRM3_MOUSE,-1.205237633,-1.160945837,-1.242586115,-0.921752465,,,,
SRRT_MOUSE,-1.56585192,-1.638023678,-1.634089412,-1.527686228,,,,
TES_MOUSE,-1.171125709,-1.245588825,-1.400981903,-1.40518432,,,,
UBP5_MOUSE,-0.808256725,-0.884769465,-1.041077004,-0.826166171,,,,
RYR2_MOUSE,-0.70536095,-0.590123109,-0.514565508,-0.576260791,-0.513030023,-0.505508727,-0.437107092,-0.458438861
HSPB1_MOUSE,-0.84545663,-0.793701888,-0.817286255,-0.834156321,-0.657776823,-0.630591125,-0.707514707,-0.760347074
MYL6_MOUSE,0.849934102,1.007312528,0.951640781,0.989969057,1.118175697,1.125573745,1.125859852,1.085483917
HNRL2_MOUSE,-0.384488205,-0.619660582,-0.661794182,-0.649341514,-0.380146728,-0.410079186,-0.437103107,-0.420853362
ELOB_MOUSE,-0.495854778,-0.329715372,-0.436132102,-0.404693808,-0.200837953,-0.304334461,-0.197013391,-0.278482264
GSTP2_MOUSE,0.459894269,0.479334497,0.388317275,0.352666158,0.61305129,0.68229382,0.603077508,0.479398709
ANXA2_MOUSE,-0.092643547,-0.11411194,-0.056320919,-0.033167966,0.138114703,0.166277112,0.124716158,0.075243684
KSR2_MOUSE,,-0.804846815,-0.826505938,-0.889809264,-0.699126349,-0.544810219,-0.521284314,-0.746588921
RS2_MOUSE,-0.877062929,-0.904710622,-0.805534252,-0.609514549,-0.569058104,-0.702737019,-0.464693884,-0.573700782
HNRL1_MOUSE,-0.296483623,-0.505867133,-0.600556379,-0.379141671,-0.188836342,-0.313809907,-0.278482338,-0.06868379
GSTP1_MOUSE,0.412773364,0.297405089,0.388317275,0.323299042,0.643269806,0.610150951,0.637955944,0.528792966
4ET_MOUSE,-1.177108471,-0.966673938,-1.008446139,-1.045564659,-0.612259887,-0.819416204,-0.765022658,-0.948216946
RS16_MOUSE,-0.402997881,-0.446986573,-0.590997693,-0.639442928,-0.485283986,-0.143706372,-0.205425117,-0.140980538
PTBP1_MOUSE,-0.801589952,-0.62131514,-0.542135618,-0.495364679,-0.267097023,-0.176432198,-0.447470475,-0.375204014
RS15A_MOUSE,-1.007894134,-1.079573985,-1.104768371,-1.308629049,-0.89358114,-0.686656713,-0.770215911,-0.945480824
ACOT3_MOUSE,-0.288920091,-0.303311441,-0.274552632,-0.283346397,0.160221536,-0.055872776,0.119209935,-0.159551982
VINC_MOUSE,-0.859057275,-0.766938529,-0.844971936,-0.968259974,-0.486293393,-0.494701572,-0.530490051,-0.589665424
ODO2_MOUSE,-1.27122436,-1.203118194,-1.315182853,-1.295035408,-0.929100694,-1.019683433,-1.05486573,-0.727782597
CAH2_MOUSE,-0.70183563,-0.903089987,-0.922386666,-0.922769556,-0.386396356,-0.430581502,-0.435068342,-0.830506674
PSB3_MOUSE,-1.408961015,-1.493314611,-1.492818763,-1.30042063,-1.030678423,-0.897023596,-1.053714197,-1.297860003
RL13_MOUSE,-0.576509503,-0.438372816,-0.543296097,-0.601630705,-0.371172203,-0.144530504,-0.073856461,-0.030348606
TRY2_MOUSE,0.414899526,0.649694473,0.270328373,0.451322517,0.714428793,0.719695443,1.245968116,0.658546837
DHE3_MOUSE,,-0.65913532,-0.736968005,-0.816047588,-0.290613659,-0.327375715,-0.332945469,-0.443375283
IRF7_MOUSE,0.44721569,0.80847492,0.98796461,0.69434295,1.187242876,0.997480581,1.086092362,1.260526585
ACOT4_MOUSE,-0.288920091,-0.303311441,-0.340724967,-0.45493955,0.160221536,-0.164907753,0.119209935,0.107445912
CCNA2_MOUSE,-0.165112016,0.071197279,-0.115607004,-0.054344872,0.56946221,0.435413065,0.463811321,-0.117794699
NSUN2_MOUSE,-1.054306442,-0.837962216,-0.79547562,-1.373610685,-0.378186261,-0.567615009,-0.751556281,-0.698586962
HINT1_MOUSE,-0.255859461,-0.484779526,-0.607973276,-0.617567894,-0.00221062,0.051379749,-0.045040729,-0.266589647
LASP1_MOUSE,-0.619370987,-0.828355378,-0.90917815,-0.90787844,-0.61171487,-0.357694587,-0.26923921,-0.278647537
CALX_MOUSE,-1.040065015,-1.216885654,-1.393538412,-1.26720401,-0.602513193,-0.71523101,-0.811045778,-1.002993428
ITIH3_MOUSE,-1.274608179,-1.394444268,-1.45676768,-1.701017373,-0.870568289,-0.801804162,-0.981787198,-1.234536228
RSU1_MOUSE,-0.717880971,-0.853315472,-0.882907187,-1.109274114,-0.27352094,-0.286805157,-0.332972013,-0.690850435
RL4_MOUSE,-0.986383224,-1.255385622,-1.302513112,-1.019084804,,-0.584321386,-0.706764185,-0.632944367
DDAH2_MOUSE,-1.045822441,-1.183447688,-1.06107018,-1.137833659,-0.609209957,-0.391944087,-0.439476787,-0.957075666
PEBP1_MOUSE,-0.44236047,-0.369237012,-0.478674203,-0.689323696,0.26844916,0.172552845,0.032013304,-0.335916169
CATH_MOUSE,,-1.492204735,,-1.781914857,-0.909948552,-1.238395468,-0.939792457,-1.295635414
SRSF1_MOUSE,-1.020268816,-0.572470413,-0.474978809,-0.579402782,0.013845538,-0.083490678,-0.013355003,-0.384600096
PNPH_MOUSE,-0.409305659,-0.333787606,-0.483496881,-0.433935886,0.091361062,0.201007913,0.250927481,-0.014180798
TBB1_MOUSE,-0.057728927,-0.192494792,-0.276980246,-0.160043126,0.51077,0.604598047,0.529145706,-0.080678065
RS8_MOUSE,-0.903593669,-1.180860485,-1.042359451,-1.349532119,-0.701599605,-0.686538984,-0.237930297,-0.555136771
MIF_MOUSE,-1.06600182,-0.948356316,-0.897491916,-1.135161843,-0.243728385,-0.20667183,-0.522462484,-0.741258237
DCTN2_MOUSE,-0.905834171,-1.26749911,-1.092750818,-1.072257892,-0.25569793,-0.331219553,-0.485744893,-0.880022668
HBA_MOUSE,0.76783986,1.011397767,0.766210217,0.717126697,1.372865403,1.499577579,1.569639375,1.273205156
RL15_MOUSE,-1.078153795,,-1.055308354,-1.154432847,,-0.466121458,-0.50775578,-0.46202611
TRIPC_MOUSE,-0.864495712,,-0.688487418,-0.922592544,-0.013916304,-0.509040665,-0.024248527,-0.271072439
TLN1_MOUSE,-0.245205412,-0.543721025,-0.486844071,-0.544022365,0.287696196,0.397985317,0.214906925,-0.2057504
ACBP_MOUSE,-0.743903097,-0.792394879,-0.885674206,-0.780719962,0.067378669,-0.025177745,0.16791169,-0.788119462
ST5_MOUSE,-0.993655698,-1.016679217,-1.30614516,-1.085708064,-0.419916297,-0.404823557,-0.479547242,
MAP4_MOUSE,-1.342213226,-1.359731495,-1.578663223,-1.786076575,-0.955024226,-0.906426349,-0.644297378,-0.851520239
GDIB_MOUSE,-1.040553809,-1.394437615,-1.252938153,,-0.581125134,-0.504319422,-0.534654298,
IGKC_MOUSE,-0.469475025,-0.441696522,-0.292661565,-0.336231237,0.648054592,0.373494489,0.442462168,-0.12464533
TBAL3_MOUSE,-0.972663589,-0.918790089,-0.762142252,-0.969490389,-0.106918491,0.072436218,-0.074679237,-0.410751044
1433S_MOUSE,-0.879969593,-0.483100615,-0.4176356,-0.322351947,0.408154621,0.491415681,0.342122292,-0.235647272
PRELP_MOUSE,-0.321652314,-0.296741046,-0.636129405,-0.435111447,0.424463133,0.450065844,0.593020836,-0.032355958
RL6_MOUSE,,-1.355669074,,,-0.665303122,-0.58598442,-0.702469552,-0.330873534
ANR32_MOUSE,-1.438204467,-1.233864577,-1.352639743,-1.471847411,-0.069242224,-0.578729977,-0.367012215,-1.242611206
RL23A_MOUSE,-0.348394641,0.028169238,0.065794052,-0.147225969,0.830520861,1.176314538,0.790354397,0.214101164
FKB1A_MOUSE,-1.287318339,,,-1.658011397,-0.366551379,-0.340620892,-0.380665171,
IQCAL_MOUSE,-1.485321855,-1.319161888,-1.74066424,-1.476724544,,,-0.233312471,-0.41428806
2AAA_MOUSE,,-0.407378547,-0.500676241,-0.474849611,,,,1.005133639
ALDOC_MOUSE,,,,,0.245830514,-0.521954075,-0.999062142,-0.238787379
IGHA_MOUSE,,,,,-0.728488519,-0.911155186,-0.959650327,
IRS4_MOUSE,,,,,,-1.352668327,-1.223145219,-1.30681228
PCP4_MOUSE,,,,,-1.34208613,-0.606380701,-1.038540278,
THIC_MOUSE,,,,,-0.908292657,-0.7464416,-0.924666986,-1.736199212
TOP2A_MOUSE,,,,,-1.051475235,-0.951635916,-1.019848012,
WDR60_MOUSE,,,,,-1.479743855,-1.51814061,-0.863691814,-1.42494274
H1T_MOUSE,0.365433489,0.293135746,0.149056004,0.236496455,0.323224064,0.920250173,0.845145613,0.545800225
H12_MOUSE,0.39767241,0.293135746,0.149056004,0.188749885,0.32860784,0.941872468,0.849196685,0.704395845
