MinOfORF,Mass_Tag_ID,CTR_,P10A,P10B,P11A,P11B,P12A,P12B,P13A,P13B,P14A,P14B,P15a,P15B,P16a,P16B,P17a,P17B,P18A,P18B,P19A,P19B,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_,P7A_,P7B_,P8A_,P8B_,P9A_,P9B_
IPI:IPI00003269.1,6960935,-0.138180961,-0.331729822,0.477517113,1.524082691,-1.149784774,0.425135596,-0.896540881,0.181784954,0.723486429,0.49933594,0.415369297,,1.09118424,-0.114065493,-0.653554241,-1.202639411,-0.285060829,-0.006954508,0.65547748,-0.84900072,-1.531774624,-0.484677558,-0.531825293,-0.740031683,-0.622571524,-0.806336159,-0.472365062,-0.201733477,0.388209494,0.335671153,0.209839759,-0.36837224,-0.357009729,-0.507910604,-1.462336264,1.264596576,-1.022744773,-1.15816691,-0.910621985
IPI:IPI00003269.1,12901018,-0.045665919,,,1.024894451,,-0.004228162,-1.041296355,,-0.144949235,-0.621021419,-0.240109781,,0.643134745,-0.665679422,-1.214040674,-1.41533773,-1.354576258,-0.547024382,-0.302193704,-0.715443041,-1.643208164,,,,,,,,,,,,,,,,,,
IPI:IPI00003351.2,9951150,,,,,,,,,,,,,0.894411844,,,,,,,,2.558797145,0.660637445,,,,,1.118564315,,,2.70629321,,,,,,,,,
IPI:IPI00003351.2,10263886,1.494863756,-0.145775879,0.270862146,0.563543755,-0.314891751,-0.370953779,-0.358359873,0.826995464,-0.792910495,-0.063195245,-0.75424882,-0.769501579,0.251115937,,-0.69113753,-0.433127174,-0.939249687,-0.923325431,-0.458131569,-0.2872662,,-0.040246247,0.398765136,-0.880715882,-0.311368848,,-0.53551574,0.90440127,-0.198411965,1.367325689,-0.267100936,-0.453264704,-0.03966286,-0.205191593,-0.016369774,-0.355661729,-0.582058845,-0.439927932,-0.422506942
IPI:IPI00003351.2,10363091,,-0.89326644,-0.365567064,0.159825772,,,,-0.312355888,,,,,,,,,,,,0.099446793,0.138169395,,,,,,-0.313547734,-0.215995508,-0.568086923,0.583953411,-0.474587503,-0.54515781,-0.562762581,,,-0.347591122,,-0.517146656,
IPI:IPI00003351.2,10625152,0.472618602,-0.57077781,-0.433221371,0.884911266,,-0.757261544,-0.915901689,-0.108850663,,-0.766688099,-1.522221422,-0.990925134,-0.63886747,,-1.561361555,-0.344906842,,-1.309613646,-1.211961105,0.607195019,0.932439982,-1.066355072,-0.367883133,-1.38096556,-0.604391389,-0.875443332,-0.103753797,0.168669899,-0.379475647,1.060082237,-0.213736103,-0.175511649,-0.568691281,-1.30980167,-1.385463133,-0.185566112,-0.968039125,-0.485454101,-1.435210932
IPI:IPI00003351.2,11512504,,-1.023284142,0.238941062,0.218291746,-0.990941737,,,,,-0.563705062,,,,,,,,,,0.171672396,-0.863702762,,,,-0.788605788,,,,-0.629964589,0.966484034,-1.323714319,,-1.561756611,-0.702027147,,-0.132572258,,,-0.386369574
IPI:IPI00003351.2,11592871,,,0.314017383,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.350998664,,-0.027516881,,,,,,
IPI:IPI00003351.2,15467712,1.474167168,0.322387976,,,,,0.551657898,,,,-0.043195285,,1.050410816,,,,,,,,,,,,,,0.260288093,1.637865675,0.421901753,0.713519324,0.470239181,0.224775329,,,,,,0.48496034,
IPI:IPI00003351.2,35583418,0.921213386,-0.241973844,0.209147775,,,,,,,,,,0.01304933,,,-0.4328577,,,,-0.64756628,1.445840101,-0.056844047,,,0.756964235,,,,,1.207036488,,,,,,,,-0.100465073,
