MinOfORF,Mass_Tag_ID,CTR_,P10A,P10B,P11A,P11B,P12A,P12B,P13A,P13B,P14A,P14B,P15a,P15B,P16a,P16B,P17a,P17B,P18A,P18B,P19A,P19B,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_,P7A_,P7B_,P8A_,P8B_,P9A_,P9B_
IPI:IPI00017696.1,9275936,0.791419963,0.949192332,0.676597165,0.968965234,1.266913706,0.653367938,0.903012186,0.569069826,1.64010302,1.158289847,1.622961643,0.578315836,0.860993536,0.810525977,1.288503761,1.598236392,1.565208195,1.397136527,1.283126993,0.998889989,1.121051996,0.905807845,1.430573051,1.511649678,1.156352792,1.849672853,1.428667015,1.13975055,0.998680996,1.350623718,0.80013707,1.970659238,1.203501471,1.415866045,1.616000314,1.384084392,1.953011565,0.696462404,1.502980137
IPI:IPI00017696.1,10103827,-1.097814809,-0.613255073,,0.530476575,-0.243976701,-0.654031226,-0.91227782,,-0.076189246,-0.484397498,-0.446796208,,,,-0.428748312,-0.365704854,-0.062871409,-0.260480542,-0.372026346,-0.518644687,0.757732716,,,,,0.829222045,1.868019955,-0.709073031,,-0.117610256,,,2.673601579,,0.001332165,-0.140402935,0.47633256,-0.818728137,
IPI:IPI00017696.1,10127975,-1.17329112,-0.468610887,-0.810234166,-0.13507755,-1.100860786,-0.809809341,-0.689334915,-0.981216914,-0.287679921,-0.564619859,-0.174631724,-1.085982904,-0.601979751,-0.701273062,-0.68654525,-0.030388678,-0.781484314,-0.282903467,-0.272684933,-1.090969799,-0.477434604,-0.932897057,0.011455117,-0.131813323,-0.481418707,0.229420707,-0.174527826,-0.73600108,-0.715493666,-0.317331975,-0.702957647,0.511529868,-0.469308834,-0.134270376,-0.034503651,0.049248373,0.360367213,-0.804470281,-0.476139247
IPI:IPI00017696.1,10176023,,-0.527637906,-0.690112531,-0.190984865,-0.283464312,-0.821291045,-0.604225789,-0.924938858,-0.056520497,-0.267036891,-0.219169751,-0.840021425,-0.68732383,-0.635545376,-0.374012395,0.00903491,0.044264658,-0.196090361,-0.284741277,-0.429083076,-0.416778011,-0.51457478,-0.030146827,0.17841011,-0.436824723,0.222385276,0.052296784,-0.337460398,-0.462077957,-0.168094993,-0.523870004,0.427109481,-0.255311345,0.062247681,0.105555619,-0.186401111,0.392175384,-0.645136575,-0.010594196
IPI:IPI00017696.1,10178246,,-1.2946369,-1.909156118,-0.636166134,,,,,,,-1.610332683,,,,,-0.312205189,-1.984130778,-1.198755914,,,-1.702921134,,-0.826380043,-1.259188768,-1.401799601,-0.954895724,-0.706940767,-1.489539496,-1.649176672,-0.783643284,-1.431831409,-0.241346556,-1.46529099,-1.110180081,,-0.421783033,-0.779737692,-1.532390371,-1.62743278
IPI:IPI00017696.1,10188174,-0.819086533,-0.689382602,-0.911639981,-0.449230161,-0.444085618,-0.855096911,-0.812113483,-1.166769052,-0.266414101,-0.49665247,-0.50282798,-0.996954193,-0.787107322,-1.004633349,-0.624154132,-0.209352262,-0.266108065,-0.347541941,-0.455275668,-0.580847062,-0.600393606,-0.69976609,-0.269884496,-0.157271448,-0.596721041,0.02470519,-0.25889094,-0.528265321,-0.65834913,-0.34194346,-0.742247158,0.24226751,-0.519819603,-0.135577001,-0.188528026,-0.231382009,0.116639193,-0.695359986,-0.290382256
IPI:IPI00017696.1,10191960,-0.245460538,0.4475792,0.344076729,0.955587537,-0.054996306,0.162798049,0.253786629,-0.163276882,0.735465626,0.526501604,0.904129958,-0.027132935,0.247402835,0.325221921,0.639266885,1.324998286,0.24490987,0.589646926,0.974043926,,1.046196478,-0.037852922,0.478370482,0.819701998,0.245603144,1.349916353,1.338015566,0.281600565,0.649622586,0.939647116,0.565785457,1.425433072,0.759091621,0.698131597,1.102040281,1.100143893,1.051476041,0.116989467,
IPI:IPI00017696.1,10201587,,,,,,,,-0.3993838,,-0.114444435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPI:IPI00017696.1,10274919,-0.353115804,-0.027377744,-0.348244361,-0.038914493,0.340989168,-0.119553392,-0.163071207,-0.245167554,0.716907405,0.271884144,0.23199854,-0.819196132,-0.06446632,-0.134004129,0.272992955,0.335062562,0.408272658,0.443085064,0.266441582,-0.360924638,0.052207097,0.009169492,-0.681992377,0.778728957,0.100311019,0.823713637,0.492023,0.506695229,0.186880313,0.079618376,-0.45076793,0.634623813,0.136051438,0.373265013,0.496108397,0.16789067,0.656740013,-0.51954802,0.379735895
IPI:IPI00017696.1,10616052,-1.134517258,-0.778736169,-1.008766156,-0.522677815,-0.22219739,-0.915638195,-0.856990777,-1.107776618,-0.157431841,-0.327285311,-0.435054131,-1.183163615,-0.968254793,-0.799129074,-0.536214998,-0.268371907,0.000652724,-0.376550488,-0.502774247,-0.811265872,-0.482196955,-0.61415573,-0.343448681,0.05425289,-0.692252731,0.084282919,-0.240439009,-0.371796029,-0.7254441,-0.461773595,-0.818452531,0.086403536,-0.551522315,-0.176097956,-0.201405354,-0.403710398,0.125961234,-0.935044928,-0.331536365
IPI:IPI00017696.1,15319413,-0.490940267,0.071501224,-0.150809566,,0.509708037,0.185053684,0.150330509,-0.101726777,1.003077811,0.343220574,0.670580301,-0.306806109,0.115988162,0.105909435,0.48025988,0.250907477,0.730352823,0.718732756,0.21803169,,0.201463527,-0.016680068,,,0.188562385,,0.239702519,0.357137131,,0.275868207,,1.035370768,,0.584096066,,0.337781214,1.009524603,3.30E-10,0.56546934
IPI:IPI00017696.1,15355057,0.93748077,1.921941099,,,,1.4363639,1.308359505,,,1.171733345,2.263708717,0.682854693,1.593370606,1.611612543,1.894021487,1.912080562,1.400864482,1.443381306,2.110740905,1.093995705,1.964784865,,,,2.652238131,,2.207533631,2.29092004,,1.644002948,,3.14024258,,2.735725914,,1.391688596,2.03782347,0.480404065,2.21045518
IPI:IPI00017696.1,15355157,,,1.63303548,,2.22189936,,1.686785498,,,,,0.742169392,,,,2.836089721,,,5.025643455,1.244802454,,,3.47938154,,2.341530389,,,,3.279819753,,,,,,,2.333204658,,0.928668501,
IPI:IPI00017696.1,15355601,0.371547014,0.750255354,0.464950305,0.835684406,1.145470844,0.838523823,0.621193947,0.54048751,2.121198674,1.289197795,1.409642471,0.149582137,0.710380546,0.656320876,1.245766749,1.360699365,1.192414955,1.338606912,1.198550018,0.242882586,,0.81484638,1.768252026,1.632805211,1.01377319,2.093697827,1.333299726,1.166234934,1.106720123,1.255347657,0.801964955,2.107565287,1.543775046,1.490897525,1.737371232,1.090649598,,0.372176115,1.341876091
IPI:IPI00017696.1,15473258,-0.717595221,-0.348104007,-0.589001385,0.029901099,-0.52591018,-0.716327646,-0.461859609,-0.528479849,-0.048688007,-0.110463919,-0.335064604,-0.671325511,-0.615396573,-0.431751916,-0.52755771,-0.281267894,-0.275055309,0.015700159,-0.334231275,-0.7649884,0.00234319,-0.505518014,0.226410831,0.179041565,-0.245295744,0.228012092,0.153369118,-0.263781359,-0.386184846,0.014467673,-0.287707644,0.891042825,0.056600753,0.2246268,0.007696424,0.212352642,0.327978308,-0.497897031,-0.504423335
IPI:IPI00017696.1,15583985,,,,,,,,,,,,,0.95035416,0.664343952,0.906060711,1.056026006,1.331880731,1.540735856,,,,,,,0.333392386,,0.548776805,,0.777488792,0.552793264,,1.254972014,,1.392374016,,,1.833517738,,1.130212356
IPI:IPI00017696.1,55682071,,-0.377286508,-0.410545818,-0.223459965,0.112423988,-0.69727653,-0.451944255,-0.836262908,0.134645924,-0.096051134,-0.09951399,-0.80110231,-0.77341433,-0.420517632,-0.072429823,0.078316422,0.230081306,0.473899259,-0.311780996,-0.352157155,-0.211952962,-0.574040909,-0.049415069,,,0.241933481,0.038133,-0.097261911,-0.197839628,-0.194635401,-0.49144486,0.280673623,-0.035334274,0.249908595,0.300233186,-0.151025632,0.403573657,-0.567395776,0.034768657
IPI:IPI00018136.1,72034724,,0.460653732,0.18714416,-0.284834411,0.230667029,0.184381965,0.297019986,1.697331225,0.137576535,,-0.635664878,,-0.279506261,0.902698595,0.121833879,0.370088134,,-0.321169989,0.206708201,1.853582391,-0.344067692,,,,0.322470661,0.200173382,1.088287422,,0.08706941,1.436035853,0.878156536,0.718311464,-0.537778163,-0.364577549,-0.364922974,1.230226878,-0.134767087,0.994705915,-0.502940323
IPI:IPI00018146.1,6969520,,-0.211270925,,1.146339917,,-0.496720839,,,,,,,,,,-0.707678796,,,-0.576019953,,,,-0.279498106,,,,-0.541587759,,-0.698734889,-0.200867199,-0.713399876,-0.627702651,,,,1.239804893,,,
IPI:IPI00018146.1,6971858,,-0.706005718,0.026220908,1.004171762,-1.192608327,0.057935743,-1.137584771,-0.554621831,-0.148608764,0.588912954,-0.43704063,,0.485445259,-0.389367404,-1.054788707,-1.160289448,-0.695344985,-0.583189691,0.185265561,-0.170839029,-1.563095207,-0.886263133,-0.575937434,-1.14948907,-0.830608062,-0.792314101,-0.638128804,-0.605150907,-0.078936509,0.085561477,-0.253971717,-0.932939688,-0.689922858,-0.593200282,-1.391607838,1.21641775,-0.775560856,,-1.19095739
IPI:IPI00018219.1,9717729,0.569290486,0.715455674,0.018735078,1.692880745,,,,,,0.004047458,,,,1.004625049,,0.151140796,-0.402873872,-0.331035895,,,0.751928127,,,,,,1.16256538,,,,,,,,,,,,
IPI:IPI00018219.1,15867554,-1.076207292,0.025121741,-0.427101479,,,-0.568607308,1.05231861,,,,-0.52353179,,-0.997023121,0.352635478,-0.71957248,-0.604421304,-0.769571617,-1.719610884,-0.29971129,,-0.817963875,-0.755088366,-0.042696442,,0.47970427,,-0.126137577,,-0.56006191,0.989640804,0.526741302,0.233089612,,0.076222016,,2.045988081,0.232530041,-0.741841742,-0.5150919
IPI:IPI00018305.1,9346849,,,-2.680910468,,-1.666171629,-2.300510481,-1.598575016,-1.807922362,,,,-1.797573584,-2.458970482,-1.182250319,,-1.43423431,,,,,,-1.510588843,-1.305745658,-1.158975834,-0.169668727,,-1.333788998,-1.983142377,-1.86638169,,-0.777291383,-1.731803981,,,,,,-1.667981578,
IPI:IPI00018305.1,9692687,,-1.869033608,-1.742201249,0.14061807,,-1.958851665,,-2.058824126,,,,,-1.355161522,,,,,,-1.820336227,-1.776955324,,,-1.878462931,,,,,-2.67722318,-1.954037124,-1.359808897,-1.83828242,-1.68260249,,,,-0.525967424,,-1.696237055,
IPI:IPI00018305.1,15463468,0.493507827,-1.234440693,,,,-1.564780806,-0.200872577,,,,,,-0.693698702,-0.345376293,,0.055752927,,,-1.073562765,,,,,,-1.172751375,,0.956329099,,-1.081276089,-0.328360015,-1.115155256,-0.916897752,-0.537216316,,,0.761795074,,-1.336742009,
IPI:IPI00018891.5,113795005,,,,,,,,,,,,,,,,,0.420409677,,,,,,,,,,,,,,,,,,,,,,0.224823038
IPI:IPI00018903.1,10466514,,-1.21900484,-0.552648284,-0.572590008,,-0.967635109,-0.959270027,-1.319121579,-0.741121917,-0.816748028,-0.710513244,,-0.617286569,-1.859451652,-0.265849988,,-0.975796367,-1.291342879,-0.710516294,-1.016234199,-0.956525479,-0.73957924,-1.435740449,-0.613091525,,-1.180940074,,0.436562836,-0.33868255,-0.893800164,-1.111843643,,-0.865817277,,-1.451272758,-2.151134935,-1.223082429,,-1.395302093
IPI:IPI00018953.1,46450083,0.790214701,,,,,,,,,,,,,-0.108930537,,,1.345817695,,,,-0.268081631,,,,,,,-0.402859037,-0.231884036,-0.978423713,,,,,,,,1.087678314,-0.261295452
IPI:IPI00019568.1,6674502,,,,,,,,,,,,,,,,,,,,,,,,,0.946197358,,,,,,,,,,,,,,
IPI:IPI00019568.1,6706266,0.008516228,-0.475926683,-0.122632559,0.115115756,-1.379807114,-0.61721533,-0.386144344,-0.110509561,-0.813456256,-0.422011136,-0.733923322,-0.411646973,-0.445851807,-0.870234143,-0.738716017,-0.393088619,-0.816276921,-0.843285279,-0.603963539,-0.505872242,-0.314819571,-0.462052982,-0.498864362,-0.488387214,-0.242773162,-0.439540545,-0.118000309,0.126200057,-0.308328014,-0.051649184,0.060628322,-0.117075681,-0.270237282,-0.435718746,-0.701727933,-0.674698225,-0.408293912,-1.076826752,-0.371039315
IPI:IPI00019568.1,6722900,,-1.983071745,-1.785785111,-1.173886534,,,,-2.041494186,,,,-2.06236281,-2.223818047,,,-1.955122415,-2.690258794,,,-1.952362282,-2.16426717,-2.316274002,,,,,-1.661539804,-1.857724418,-2.157554678,-1.753104556,-1.508463,-1.485009358,-2.110740629,,,-2.06951047,-2.029591424,,-2.417631186
IPI:IPI00019568.1,6723344,0.309945232,-0.438522085,0.011627284,0.168919756,-0.586649883,-0.270566552,-0.227386758,0.11062005,-0.361057051,-0.140182104,-0.46175832,-0.295402328,-0.307942264,-0.543851615,-0.280667726,-0.365519349,-0.242561776,-0.536287807,-0.427343927,-0.006861214,-0.039937104,-0.231767904,-0.541332663,-0.222852656,-0.190006871,-0.365950352,-0.089862101,0.415815688,-0.129793133,-0.152474197,0.022999429,-0.212241747,-0.162709351,-0.268215509,-0.550104676,-0.794650608,-0.397091828,-1.146733766,-0.078495674
IPI:IPI00019568.1,7425556,2.787870872,,2.344935411,2.666014348,1.887383017,1.412900805,1.616685319,1.454988616,1.928531645,1.47657441,1.239263617,1.439175483,1.396653921,2.17335545,1.887859975,1.536350132,1.751258462,,1.619065633,2.594148308,2.685914045,1.521619016,1.218685143,1.601904547,1.742161712,1.637206345,1.196977261,1.405497898,1.781457747,1.461034932,1.341924175,2.18847282,2.218690213,2.362329785,2.308644863,1.47193023,1.815677509,,2.419353627
IPI:IPI00019568.1,10115332,,0.909239667,0.947307131,1.632762003,,0.79552255,0.651252251,,,0.690484238,0.491879798,0.383565375,0.813441977,0.723802039,,0.608854503,,0.453901303,,0.427574979,,,0.424884679,0.915838883,,0.584409251,,1.127812036,0.821523401,0.944688719,0.990246289,1.165523589,0.854768553,0.803786112,0.884844665,0.482592881,0.828028904,0.432135597,
IPI:IPI00019568.1,10119439,,,,,,,,-0.270650546,,,4.255192371,,-0.54683161,2.081419428,,,,,,,-0.516304474,,3.170955567,0.421739462,3.405245898,,0.05028998,,,,-0.195471771,,,,2.696556233,,,,
IPI:IPI00019568.1,10119459,0.16275727,-0.660250837,-0.248882639,-0.186430799,-0.223396219,-0.381877827,-0.513112453,-0.215464501,-0.210524963,-0.067234394,-0.422594541,-0.316654364,-0.102601806,-0.585922846,-0.004272589,-0.444490755,-0.173090683,-0.494892857,-0.239857956,-0.718072842,-0.176127659,-0.399552357,-0.222508334,-0.019522226,-0.04545372,-0.214562796,-0.216052062,0.245351517,-0.206939174,-0.281642034,-0.089677987,-0.194416958,-0.069380796,-0.200563517,-0.359358633,-0.944194119,-0.465409166,-1.152027456,-0.238571129
IPI:IPI00019568.1,10119480,-0.63895741,,,-1.612835421,,,,,,,,-1.41766516,,,,-1.212110988,,,,,-1.188014033,,,,,,-1.772009254,-1.767084808,,-1.844104741,-1.990798421,-1.841568239,,,,,,,
IPI:IPI00019568.1,10119531,0.634436047,-0.510927838,0.20176072,0.198121759,-0.675121809,-0.206643793,-0.250524679,0.166506088,-0.160447604,-0.048411776,-0.289367468,-0.257742377,0.015666157,-0.561798021,-0.177716846,-0.214987004,,-0.37186185,-0.20135301,-0.504855319,1.64030501,-0.312579703,-0.241196786,-0.16546123,-0.062321609,-0.172038718,-0.187286437,0.120108667,-0.329228898,-0.178846072,-0.073144523,-0.090233998,-0.099013065,-0.139157266,-0.50389762,-0.753185337,-0.31988176,,-0.184359566
IPI:IPI00019568.1,10145257,-0.37578139,-0.82374413,-0.551010208,-0.54254389,-0.981169997,-0.357927892,-1.060562668,-0.386119761,-0.507152454,-0.848601208,-0.352270882,-1.346374466,-0.362659587,-0.693670275,-0.020981882,,-0.449963582,-0.891911442,0.126439111,,-1.021053309,-0.806834555,-0.101947541,-0.115236231,0.062370097,-0.380828741,-0.610092526,-0.090367919,-0.124046419,-0.3119027,-0.100047127,0.285979731,-0.124975524,-0.521164579,-0.360011892,-1.317584065,-0.412791258,-1.240212455,-0.192400934
IPI:IPI00019568.1,10150273,,,0.790974946,,0.580216986,0.315034971,0.195307057,,,0.544809728,0.143104089,0.304382352,0.420771744,,0.406734622,,,,0.378487048,,0.580536148,0.34499726,0.57291097,0.596607839,0.535072192,0.546893028,0.304999764,0.879551475,0.523089652,0.298881516,0.474699909,0.544708198,0.748275246,0.593817686,0.600477319,,,,
IPI:IPI00019568.1,10176734,,0.838348155,1.403072951,,,1.3405152,0.799279556,,,,1.159653363,,1.119989107,,,,1.576485209,1.370788111,1.093218696,1.207828052,1.46740054,,,,,,,,,,,,,,,,1.375175556,0.383914382,1.506601003
IPI:IPI00019568.1,10182641,-1.954053911,-1.813172542,,-0.985012186,,,,,,,-2.430464381,,,,,,,,,-1.287985147,-1.980805078,,-1.719390414,,,,-1.68362229,,,-1.610757436,-1.502042812,-1.443597841,,,,-1.814967305,,,
IPI:IPI00019568.1,10184838,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.597578951,,-2.200377433,-1.732404346,,,,,,,,
IPI:IPI00019568.1,10184843,-0.6902938,-0.572809962,-0.501399335,-0.120272526,,-0.684166517,-1.090698403,-0.322395036,-0.789365311,-0.863344214,-0.719717105,-1.371123357,-0.538784596,,-0.998200436,-1.115445287,-1.287656951,,-0.671837037,-1.585786999,-1.381261353,,-0.195785275,,-0.498538463,,-0.679157573,-1.005014146,-0.769614586,-0.678507578,-0.515678549,-0.232165033,-0.842822246,-0.663613762,-0.828184759,-0.530161305,-0.615940213,-1.303625876,-0.639674527
IPI:IPI00019568.1,10184857,-1.089276342,-1.08995912,-0.770334124,-1.087954422,,-1.087422988,-1.286822238,-0.951101025,-1.143356638,-1.144023547,-1.110857968,-1.580565063,-0.853460958,-1.210469114,-0.801562185,-1.200385532,-1.187825254,-1.293654414,-0.894339199,,-1.432905855,-1.125306274,-0.84554226,-0.953611025,-0.690123484,-0.808743597,-0.828146587,-0.587967926,-0.708694806,-0.949575857,-0.772898707,-0.665253654,-0.88103245,-1.016853025,-1.088003679,-1.866471323,-1.117934071,-1.798530538,-0.810488392
IPI:IPI00019568.1,10188188,-0.311282247,-0.556021755,-0.09893827,0.072139115,-0.468677107,0.04751633,-0.510015166,0.17650158,0.015702843,-0.124344094,0.14160685,-1.191968634,0.152998723,-0.43131512,0.237810533,-0.995806996,-0.232016136,,0.095341243,-0.902856893,-0.889795182,-0.251658653,-0.245425673,0.159808985,0.295947516,-0.233323246,-0.240667425,0.460257457,0.155321242,-0.311749326,0.063372879,,0.129903662,-0.123492458,-0.080557144,-1.078191932,-0.366658824,-1.368732532,0.051078893
IPI:IPI00019568.1,10188220,,,,,,,,,,,0.407039236,,,0.232730567,,,,,,0.334558615,,0.416926399,0.849542739,0.510240522,,1.115010229,0.529846644,0.953119013,0.419787428,0.298529078,0.564597643,0.436293172,0.595841772,0.49903268,0.381287987,,,-0.693226929,0.562094493
IPI:IPI00019568.1,10192282,-1.142080121,0.31063722,0.821813712,0.684882536,-1.046422219,0.763660508,0.19156692,,0.796411518,0.341309888,0.815300696,,0.791712201,0.360676096,0.910281847,,,-0.191134309,0.803835021,,-1.218173433,-1.478903484,0.234840592,0.351656202,0.51414494,0.515021208,0.085044663,-0.431708045,0.387410902,-0.204644098,0.284025899,,0.380511943,-0.062705752,,-0.443849819,0.514552654,-0.56942594,1.082262634
IPI:IPI00019568.1,10192288,1.473680947,1.066663776,1.191529353,,,0.299398803,3.63E-10,,,,0.854016866,,0.799280873,0.430935114,-0.115102781,0.60203886,-1.102855155,-0.153481644,1.229181936,0.514955721,0.872041508,-0.234879223,0.658782306,-0.02265282,0.581229061,,0.929246296,0.300648794,0.803609909,1.026272157,0.69806204,1.086262605,0.197312563,0.000691033,0.297084723,0.653401362,0.614457159,-0.208794848,0.663703647
IPI:IPI00019568.1,10240623,1.579570093,1.511464841,2.1565851,2.318875068,1.614404996,2.281462577,1.601635693,2.311469816,2.257856502,2.178757834,2.121469122,1.167479536,2.08039906,1.642740554,2.192464307,0.997444615,,1.427992008,2.040015638,0.675985129,1.144915215,1.432857768,2.267745219,2.055722527,2.147688391,2.254432085,1.611986338,2.175426179,2.058781593,1.617797497,2.021405922,1.998886392,2.390704513,1.862109842,1.932721718,1.195146907,1.872384867,,2.300588555
IPI:IPI00019568.1,10263416,-0.067638825,-0.772252934,-0.324644911,0.012036765,-1.805552395,-1.005527879,-0.805280398,-0.484139067,-1.079520703,-0.805843239,-1.101383708,-0.650117701,-0.81695428,-1.385421874,-1.034391126,-0.716529007,-1.171046152,-1.198065489,-0.936317106,-0.918559723,-0.727514354,-0.749366725,-0.866172622,-0.847455915,-0.577930655,-0.832313172,-0.476800664,-0.254727749,-0.575671166,-0.404052441,-0.321290869,-0.508765747,-0.622192371,-0.767830758,-1.140974103,-1.111198065,-0.81225339,-1.555390338,-0.862076444
IPI:IPI00019568.1,10285015,,-1.776581991,-1.66724293,-1.055441453,,,,,,,,,,,,,,,,,,,,,,,-1.349675588,,,-1.846972339,,-1.357071511,,,,,,,
IPI:IPI00019568.1,15302500,,,,,,,,,,,,,,,,,,,,,,,,,,,3.511267155,,,4.943443888,2.802351511,,,,,,,,
IPI:IPI00019568.1,15361877,-1.570116308,-1.570905623,-1.373617708,,,,,,,,-1.658471538,,-1.562940885,,-1.497252585,-1.825095892,-2.021968548,-1.849128438,-1.705239143,,,-2.018673657,,,-1.618558053,,,,,-2.236166304,,,,,,,-1.610149963,,-1.306974375
IPI:IPI00019568.1,33424063,4.551347868,,4.408691753,4.521480549,2.900523642,,4.251260677,9.644699924,5.734700266,,,2.149192756,,,,2.692247367,,3.371353941,5.370519361,2.001374229,3.106996401,,,,4.377419598,,3.788943128,4.735246182,2.394001111,2.319563621,5.063249319,5.349025631,,4.409490979,3.891401062,1.571727111,4.219674663,2.293580056,4.514392558
IPI:IPI00019568.1,35636244,0.022426577,,,,,,,-0.151258561,,,,,,,,,,,,,-0.380275924,,,,,,,,-1.955206278,,,,,,,0.820415741,,,
IPI:IPI00019568.1,35664313,,,,-0.775680612,,,,,,,-1.434472103,,-1.857432783,,,,,,,,,,-1.25091244,,-1.622750323,,,,,-1.845665784,-1.370685701,,-1.046833975,,,,,,
IPI:IPI00019568.1,35714625,-1.500844596,-1.716381067,-1.440639749,-1.064299056,,-1.886945778,,-1.082586868,,,-1.869194798,-1.571524376,-1.94979317,-0.922888131,-1.6672602,-1.141979797,-2.238154891,-1.640381217,-1.656511168,-1.386935976,-1.660141967,,,,-1.453877883,,-1.540225104,,,-1.420209814,-1.407324607,-1.054114445,,-1.278338238,-1.026570216,-1.603404794,-1.366445089,-2.061660754,-1.568707057
IPI:IPI00019568.1,64463343,-0.217069661,0.936115832,0.228033047,,,0.71382159,0.40205609,0.172762209,0.909405326,-0.192300891,-0.035029332,-0.171743948,,-0.004080222,0.244099392,,,,,-0.754419758,0.228593765,0.177052795,0.007907982,0.498003499,0.635600683,0.674580748,0.75236546,0.461606311,-0.124749782,-0.531573639,0.020718459,0.759166498,0.675064782,0.396181305,0.0796781,,0.572891302,-1.421105838,0.015322142
IPI:IPI00019576.1,10165438,,,1.420726322,,0.912629938,,1.089069491,,1.003177785,,0.592572823,,,,2.011087563,,,,1.476149997,,1.460929176,,,,,,0.494234018,,,,1.356810035,,1.010131789,,,,,,
IPI:IPI00019576.1,12314371,,-0.774652987,0.167290883,-0.511931744,,,,,,,-0.590292509,,,,,,,,0.173177527,,,,,,,,,,,-0.081541965,-0.148363302,,,,,,0.064846038,,
IPI:IPI00019576.1,15464378,-1.313732226,-1.787960497,-0.716084684,-1.015210275,-0.419164519,-0.968214,-1.088118163,-1.117478677,-1.230497277,-0.701322668,-1.12102461,-1.468912077,-0.838617601,-1.421661519,-0.521860676,-1.118525483,-0.692172238,-0.712804636,-1.102159536,-1.517332967,-1.424834168,-0.912972695,-0.324989759,-0.313410715,-0.03668762,-0.478179757,-1.306012282,0.034346233,-0.045507689,-0.577943929,-0.426764898,-0.290906555,-0.724059644,-0.555732365,0.064957978,-1.661485146,-0.612466599,-1.043559839,-1.004696794
IPI:IPI00019576.1,21048951,,,,,,,,,,,,,,,,,,,,,,,1.078427863,,,,,0.692506816,,,,,,,,,,,
IPI:IPI00019576.1,21053333,,,-0.147240166,,0.072037971,,-0.382343606,,,-0.179675077,-0.889341701,,-0.466786087,,-0.046415236,,-0.566826378,,-0.550822461,,-0.606557455,,,,0.257297209,,-1.189290253,0.225072153,0.173021502,-0.624881847,-0.269989922,,-0.647697541,,0.286412863,-1.088138591,-0.370527278,,-0.427182844
IPI:IPI00019576.1,28110100,,,0.393366686,,-0.088243276,0.489946652,-0.086811998,1.688550501,-0.448860739,,-0.573449866,,0.076922947,,0.224460116,,-0.085522345,,0.144803187,,-0.097225094,,,,0.102391439,,,,,,0.039936219,,0.081054904,,0.715951007,,0.32029356,,0.009049766
IPI:IPI00019576.1,28172624,,,,,,,0.316662197,,,,,,,,,,-0.044642694,1.100116444,1.457851443,0.08606284,0.881475356,,,,,,,,,,,,,,,,,,
IPI:IPI00019576.1,35583688,-2.187066293,,,,,,,,,,,,,,,,,,,,,,-1.362797821,-2.384855115,-1.935384565,,,,-2.112284486,-1.877481366,-2.095938755,-1.716380702,,,,,,,
IPI:IPI00019579.1,9271779,,,,,,,0.195612652,,,,,,,2.769169801,0.723183433,,,,,,1.875338513,,,,0.310910468,,,,,,,,,,,,,,
IPI:IPI00019580.1,6643940,1.281677801,,-0.046648633,,-0.609931939,,-0.555303776,,0.578692122,0.742699243,-0.049215179,,,,0.510706135,-1.213252374,0.381828873,0.288121985,0.194237117,-0.927382974,-0.325497221,,,,,0.104493275,,,0.297975892,,-0.438716496,,-0.132247808,-0.000508093,-0.430407536,,-0.496917789,-0.622028203,
IPI:IPI00019580.1,6679017,0.806141936,-0.631289443,0.120352003,-0.973619415,-0.312185753,-0.188086772,-0.342785817,-0.622046131,0.430399771,0.69261304,-0.058369092,-0.315848326,0.30246488,-0.9231902,0.30133525,-1.144411798,0.429798921,0.218416399,0.185381533,-1.046060292,-0.282993876,0.031570949,-0.40940676,,-0.749125401,-0.361822101,-1.335709831,1.048119066,0.161087664,-0.653511231,-0.311346346,-1.062590393,-0.296760354,0.39711797,-0.24375666,-2.297840833,-0.340907108,-0.325421485,-0.29869135
IPI:IPI00019580.1,6702487,,,3.215507097,,1.71248413,,1.600481689,,2.442315086,,2.228092537,,2.240109128,,2.44042637,,2.735150808,,2.282314976,1.832286372,,,,,,,0.316115461,,2.082424477,,1.919139273,,,,,,,,
IPI:IPI00019580.1,6715549,-1.651401163,,,,,,,,,,-2.59758734,,-1.976922934,,,,,,,-1.932768555,,,,-1.949575606,,,,-1.803776953,,,,,,,,,,,
IPI:IPI00019580.1,7316104,0.522379238,-0.907830201,0.598840193,-1.296567593,-1.183227358,-0.069256217,-0.289973608,-0.584303479,0.48095697,1.00577415,0.199845546,-0.271470844,1.057560419,-1.417956552,0.319050402,-1.120704752,0.193887761,0.250533788,0.493265727,-0.276983611,-0.327287861,-0.249510864,-0.018998597,0.914659892,,-0.201283702,-1.336451027,1.779304481,0.656195144,-0.130003918,-0.105284745,-1.055565916,-0.135785853,0.490250535,-0.527969302,,-0.021191231,-0.361529335,
IPI:IPI00019580.1,8094248,0.905508052,-0.855195307,,-1.059883658,-0.207480684,0.174040383,-0.097657582,-0.239564299,0.887864778,1.173636893,0.503317959,-0.353237387,,,0.779388069,,1.013566345,0.405851525,0.620177178,,-0.050333752,0.453018696,,,-0.812639947,,,1.625685391,0.736099248,,,,0.122746486,,-0.101337212,,,-0.11888372,0.019806594
IPI:IPI00019580.1,10098228,1.397799695,,,,,,,-0.203357656,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849888841,,,,
