Mass_Tag_ID,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_
6654384,0.229657679,0.154463357,0.015967584,0.027422782,0.219690587,0.594087211,-0.693438155,0.206118606,0.033275404,-0.151615244,0.423992136,0.189379231
6654491,-0.602124033,-0.404086367,0.208914937,,-0.18651428,0.050175182,0.744859654,0.878668783,0.805468255,-1.124312124,-0.701659368,-0.180459099
6654606,0.483270572,-0.106350299,-0.025922257,,-0.155327743,0.400712378,0.089037043,0.127103501,0.400133934,-0.498539151,0.191831397,0.302348751
6654826,-0.200809719,-0.689261771,-0.53341908,-0.806172302,-0.808367412,-0.19725465,-0.548772591,-0.490379881,-0.338398886,-1.15850958,-0.495375045,-0.459368643
6656600,-1.141912186,-1.599788214,-1.293332963,1.895529255,-0.916055706,-1.031775216,-0.380699545,0.064849505,0.267398696,0.398005171,-1.165350796,
6658139,1.696012152,3.043519155,-0.330662408,,1.133781593,-0.444704129,0.623779517,-0.102047138,,-0.630111534,1.460262972,0.953206627
6666532,0.850336034,0.745899338,0.217294762,,1.021001192,,0.511798923,0.066941254,1.139688468,-0.017040483,1.129424156,
6668830,0.377957142,0.329033537,-0.165050797,,0.215695468,0.532985649,-0.947694703,-0.152528278,-0.253298022,-0.055869244,-0.032169288,0.142575642
6668962,0.306242651,0.722479948,-0.194848496,0.149900237,-0.465174541,0.796088347,-0.551396995,-0.554946613,-0.091223011,0.977059205,-0.275980269,-1.680593906
6669421,-0.458357337,-0.151950653,-0.140655103,,0.046582119,-0.284408223,-0.246227537,-0.780257833,-1.097805954,-0.303148939,-0.519331778,-0.658931488
6671333,-0.521702557,-0.266578342,-0.52799414,0.177105907,-0.583179862,,-1.514477154,,-0.750133842,-0.808244818,-0.593071281,-0.708296583
6671363,3.264646197,2.660757296,2.541953142,1.789527677,2.66763439,2.849846337,1.657603375,1.96846779,2.31573297,2.013567116,2.638481229,2.610572412
6672088,0.107271359,0.497971941,0.502252087,0.030469371,0.739869615,0.338489645,0.20974822,-0.156669147,-0.648094126,0.336236264,0.267996581,-0.339524434
6672545,0.097551495,0.011329525,0.459305657,,0.525214938,,-0.4463221,0.583311406,0.560879646,-0.096341209,-0.139629086,1.229094894
6672562,,,0.65953125,1.080564451,0.894366144,1.11924944,0.126686003,,0.375943062,-0.026587425,-0.687239759,0.457712226
6673593,0.959009675,0.942070015,0.904251789,0.949128457,1.194373719,1.186037839,-0.091642388,0.744215303,0.673816246,0.743750828,0.778944036,0.974647256
6674655,-0.106767027,-0.19045211,-0.500345503,-0.351186863,-0.42354702,-0.238229472,-0.041232738,-0.907159846,-0.205397285,-0.387672067,-0.164842467,-0.784391081
6674793,1.17261879,1.337589027,1.498559992,,1.513477209,0.989736821,0.965788092,0.348031315,0.085787444,1.192974479,1.079360101,0.765685512
6675205,0.497778284,0.637035369,0.073864761,,0.783636023,,-0.536406583,0.134257391,0.569766368,0.47530569,0.640286705,0.415811776
6675917,-0.189734812,,0.400944778,-0.09849736,0.066726904,,-0.37472322,0.152794601,-0.293057617,-0.112573943,-0.32924053,-0.269280943
6676129,,,4.112033903,2.087682407,4.957854725,5.36361009,3.601253422,4.508339416,4.468563765,4.275833966,4.274406833,4.878702263
6677229,0.290218171,0.572272056,0.744580568,,0.709247455,0.812505641,1.381587311,0.623601328,0.291723117,0.826497353,0.764071512,-0.363198072
6678792,0.010855378,-0.135098802,-0.507020246,,0.093473095,0.225377754,-1.270526505,-0.443138878,-0.179368897,-0.405011053,-0.361539603,-0.074925262
6678981,1.736444477,1.255306621,2.125931183,1.52264975,2.415600831,1.226878202,1.349745581,2.286903195,2.443663934,1.602238724,1.450518859,3.091238868
6679017,0.031570949,-0.40940676,,-0.749125401,-0.361822101,-1.335709831,1.048119066,0.161087664,-0.653511231,-0.311346346,-1.062590393,-0.296760354
6679059,0.162829651,-0.586163238,-0.87696246,-0.373051845,-0.881160089,-0.420895084,-0.942017873,-0.983692473,-1.729536166,0.010470705,-0.559142015,
