Mass_Tag_ID,Ref_ID,Reference
14184,20638,IPI:IPI00450768.4
14184,39868,IPI:IPI00184195.2
14184,26118,IPI:IPI00550909.2
14184,21086,IPI:IPI00009865.1
14184,25299,IPI:IPI00164540.6
14184,25572,IPI:IPI00333662.3
14184,25783,IPI:IPI00411834.2
14184,25908,IPI:IPI00455326.1
14184,26654,IPI:IPI00290077.1
14184,29653,IPI:IPI00295684.1
14184,29698,IPI:IPI00383111.1
14184,30229,IPI:IPI00176703.4
14184,30232,IPI:IPI00180956.4
14184,30358,IPI:IPI00411506.1
14184,19149,IPI:IPI00479007.1
14184,18307,IPI:IPI00332489.3
14184,30296,IPI:IPI00332588.4
14184,12111,IPI:IPI00019359.2
14184,4613,IPI:IPI00217963.2
14184,9272,IPI:IPI00171834.3
14184,9343,IPI:IPI00182562.2
14184,18454,IPI:IPI00384444.4
14184,11640,IPI:IPI00550818.2
14184,12810,IPI:IPI00184978.3
14184,13346,IPI:IPI00333429.2
14184,2990,IPI:IPI00015309.1
14184,11415,IPI:IPI00479145.1
14184,18338,IPI:IPI00335753.3
14184,13376,IPI:IPI00335614.3
14184,18080,IPI:IPI00240503.5
14184,17698,IPI:IPI00164375.6
14184,14451,IPI:IPI00479902.1
14184,13885,IPI:IPI00414173.2
14184,13839,IPI:IPI00412365.1
15609,56478,TRYP_PIG
23346,68325,P005|G3P_RABIT
30748,20924,IPI:IPI00549805.2
30748,23154,IPI:IPI00246022.3
30748,20578,IPI:IPI00440493.2
30748,20756,IPI:IPI00471928.3
216191,20924,IPI:IPI00549805.2
216191,20578,IPI:IPI00440493.2
216191,20756,IPI:IPI00471928.3
6671504,1251,IPI:IPI00298994.3
6709133,3347,IPI:IPI00026314.1
6709133,7776,IPI:IPI00513782.3
6709133,54665,IPI:IPI00377087.1
6732308,55414,IPI:IPI00395772.1
6732308,14962,IPI:IPI00019502.1
6732308,16268,IPI:IPI00395772.3
6732308,53969,IPI:IPI00332819.1
6732308,54047,IPI:IPI00333685.1
6771226,12368,IPI:IPI00037070.1
6771226,2570,IPI:IPI00003865.1
6771226,2720,IPI:IPI00007702.1
6859822,23680,IPI:IPI00456889.1
6859822,34240,IPI:IPI00385244.4
6859822,34270,IPI:IPI00453476.2
6859822,34294,IPI:IPI00549725.2
6859822,39761,IPI:IPI00218570.5
6882545,3347,IPI:IPI00026314.1
6882545,54665,IPI:IPI00377087.1
6948817,7355,IPI:IPI00472102.1
6948822,17972,IPI:IPI00219018.4
6948836,28315,IPI:IPI00515061.2
6948836,46582,IPI:IPI00220403.2
6948836,46575,IPI:IPI00152785.2
6948836,25108,IPI:IPI00018534.3
6948836,45933,IPI:IPI00166293.4
6948836,26146,IPI:IPI00554798.1
6948836,26138,IPI:IPI00554445.1
6948836,25121,IPI:IPI00020101.4
6948836,25822,IPI:IPI00419833.1
6948836,25619,IPI:IPI00377199.4
6948836,46560,IPI:IPI00003935.5
6948836,25559,IPI:IPI00329665.5
6948836,25513,IPI:IPI00303133.7
6948836,25281,IPI:IPI00152906.5
6948836,26002,IPI:IPI00477495.2
6948841,19456,IPI:IPI00013508.3
6948850,7911,IPI:IPI00549466.1
6948850,11235,IPI:IPI00472718.1
6948850,39141,IPI:IPI00027388.5
6948850,6716,IPI:IPI00419585.6
6948851,2553,IPI:IPI00003362.1
6948852,20867,IPI:IPI00513808.1
6948852,25988,IPI:IPI00472724.1
6948852,25143,IPI:IPI00025447.3
6948852,21878,IPI:IPI00382804.1
6948856,14875,IPI:IPI00013896.2
6948856,33008,IPI:IPI00552496.1
6948863,32056,IPI:IPI00386854.5
6948863,32096,IPI:IPI00396378.3
6948863,32304,IPI:IPI00414696.1
6948863,32764,IPI:IPI00477522.1
6948865,8811,IPI:IPI00030296.3
6948865,25667,IPI:IPI00385962.1
6948865,10053,IPI:IPI00328328.3
6948865,6078,IPI:IPI00386604.1
6948865,3326,IPI:IPI00025491.1
6948865,10630,IPI:IPI00409717.1
6948873,49676,IPI:IPI00009867.1
6948873,3160,IPI:IPI00021304.1
6948873,56472,K22E_HUMAN
6948873,53426,IPI:IPI00300725.2
6948873,53371,IPI:IPI00299145.4
6948873,53236,IPI:IPI00296350.3
6948873,53139,IPI:IPI00293665.4
6948873,52739,IPI:IPI00241841.4
6948873,52725,IPI:IPI00240020.5
6948873,24582,IPI:IPI00386438.2
6948873,24406,IPI:IPI00299145.8
6948873,24390,IPI:IPI00293665.6
6948873,22429,IPI:IPI00479403.2
6948873,17194,IPI:IPI00009867.2
6948873,26691,IPI:IPI00300725.6
6948873,9699,IPI:IPI00241841.6
6948873,14753,IPI:IPI00005859.1
6948879,14962,IPI:IPI00019502.1
6948880,7045,IPI:IPI00455259.1
6948880,19278,IPI:IPI00552125.1
6948880,8475,IPI:IPI00013944.2
6948880,9442,IPI:IPI00216592.1
6948890,19530,IPI:IPI00021439.1
6948890,19531,IPI:IPI00021440.1
6948890,20939,IPI:IPI00550724.2
6948892,19572,IPI:IPI00025416.1
6948892,20939,IPI:IPI00550724.2
6948892,20909,IPI:IPI00515047.1
6948892,20891,IPI:IPI00514530.3
6948892,19545,IPI:IPI00023006.1
6948892,19531,IPI:IPI00021440.1
6948892,19530,IPI:IPI00021439.1
6948892,19529,IPI:IPI00021428.1
6948892,19401,IPI:IPI00008603.1
6948892,6916,IPI:IPI00444605.1
6948892,20502,IPI:IPI00414057.2
6948898,29899,IPI:IPI00031562.1
6948898,30135,IPI:IPI00552873.1
6948898,30005,IPI:IPI00339274.4
6948898,29981,IPI:IPI00303315.3
6948898,29973,IPI:IPI00291764.2
6948898,29971,IPI:IPI00255316.4
6948898,29964,IPI:IPI00220855.3
6948898,29945,IPI:IPI00216457.6
6948898,29944,IPI:IPI00216456.4
6948898,29911,IPI:IPI00081836.1
6948898,29889,IPI:IPI00026272.1
6948898,29957,IPI:IPI00219037.4
6948898,29948,IPI:IPI00216730.1
6948898,12391,IPI:IPI00045109.1
6948898,29917,IPI:IPI00102165.1
6948899,2553,IPI:IPI00003362.1
6948901,12368,IPI:IPI00037070.1
6948901,2720,IPI:IPI00007702.1
6948901,2570,IPI:IPI00003865.1
6948903,32584,IPI:IPI00455423.1
6948903,15068,IPI:IPI00027499.1
6948903,17040,IPI:IPI00554482.1
6948903,20018,IPI:IPI00220740.1
